list-none-none,1,10,1,30,130022,4334
list-none-none,1,100,1,300,198897,662
list-none-none,1,1000,1,3000,8840076,2946
list-none-none,1,10000,1,30000,1408399063,46946
list-none-none,1,20000,1,60000,9608512501,160141
list-none-none,2,1,1,6,227159,37859
list-none-none,2,10,1,60,218335,3638
list-none-none,2,100,1,600,1621237,2702
list-none-none,2,1000,1,6000,81347434,13557
list-none-none,4,1,1,12,283151,23595
list-none-none,4,100,1,1200,9209212,7674
list-none-none,8,1,1,24,668768,27865
list-none-none,8,10,1,240,697515,2906
list-none-none,12,1,1,36,514174,14282
list-none-none,12,10,1,360,622185,1728
list-i-none,2,1,1,6,217932,36322
list-i-none,2,2,1,12,219892,18324
list-i-none,2,4,1,24,219994,9166
list-i-none,2,16,1,96,241431,2514
list-i-none,4,1,1,12,332258,27688
list-i-none,4,2,1,24,477416,19892
list-i-none,4,4,1,48,526168,10961
list-i-none,4,16,1,192,576741,3003
list-i-none,8,1,1,24,675189,28132
list-i-none,8,2,1,48,569864,11872
list-i-none,8,4,1,96,726492,7567
list-i-none,12,1,1,36,515673,14324
list-i-none,12,2,1,72,694336,9643
list-i-none,12,4,1,144,880600,6115
list-d-none,2,1,1,6,212341,35390
list-d-none,2,2,1,12,138699,11558
list-d-none,2,4,1,24,229617,9567
list-d-none,2,8,1,48,233309,4860
list-d-none,2,16,1,96,275107,2865
list-d-none,2,32,1,192,350833,1827
list-d-none,4,1,1,12,385655,32137
list-d-none,4,2,1,24,589360,24556
list-d-none,4,4,1,48,504779,10516
list-d-none,4,8,1,96,503292,5242
list-d-none,8,1,1,24,629187,26216
list-d-none,8,2,1,48,724510,15093
list-d-none,8,4,1,96,688555,7172
list-d-none,8,8,1,192,698029,3635
list-d-none,12,1,1,36,830596,23072
list-d-none,12,2,1,72,801057,11125
list-d-none,12,4,1,144,851175,5910
list-d-none,12,16,1,576,750372,1302
list-il-none,2,1,1,6,193428,32238
list-il-none,2,2,1,12,221172,18431
list-il-none,2,4,1,24,238030,9917
list-il-none,2,8,1,48,402585,8387
list-il-none,2,16,1,96,895385,9326
list-il-none,2,32,1,192,3034265,15803
list-il-none,4,1,1,12,313121,26093
list-il-none,4,2,1,24,437392,18224
list-il-none,4,4,1,48,698986,14562
list-il-none,4,8,1,96,1148032,11958
list-il-none,4,16,1,192,3253104,16943
list-il-none,8,1,1,24,488611,20358
list-il-none,8,2,1,48,616405,12841
list-il-none,8,4,1,96,771119,8032
list-il-none,8,8,1,192,3153848,16426
list-il-none,12,2,1,72,896583,12452
list-il-none,12,4,1,144,1154577,8017
list-il-none,12,16,1,576,25690009,44600
list-dl-none,2,1,1,6,216557,36092
list-dl-none,2,2,1,12,265110,22092
list-dl-none,2,4,1,24,237312,9888
list-dl-none,2,8,1,48,393692,8201
list-dl-none,2,16,1,96,913553,9516
list-dl-none,2,32,1,192,3175140,16537
list-dl-none,4,1,1,12,388405,32367
list-dl-none,4,2,1,24,335089,13962
list-dl-none,4,4,1,48,334507,6968
list-dl-none,4,8,1,96,882017,9187
list-dl-none,4,16,1,192,3020142,15729
list-dl-none,8,1,1,24,615871,25661
list-dl-none,8,2,1,48,461064,9605
list-dl-none,8,4,1,96,934349,9732
list-dl-none,8,16,1,384,11774039,30661
list-dl-none,12,1,1,36,864270,24007
list-dl-none,12,2,1,72,901767,12524
list-dl-none,12,8,1,288,6162753,21398
list-i-m,12,32,1,1152,7677177,6664
list-d-m,12,32,1,1152,7008294,6083
list-il-m,12,32,1,1152,55466561,48148
list-dl-m,12,32,1,1152,46463275,40332
list-i-s,12,32,1,1152,52225781,45334
list-d-s,12,32,1,1152,20242741,17571
list-il-s,12,32,1,1152,346876592,301108
list-dl-s,12,32,1,1152,504155901,437635
list-none-none,1,1000,1,3000,8403021,2801
list-none-m,1,1000,1,3000,8327265,2775
list-none-m,2,1000,1,6000,64368191,10728
list-none-m,4,1000,1,12000,226264624,18855
list-none-m,8,1000,1,24000,1067746202,44489
list-none-m,12,1000,1,36000,1870181152,51949
list-none-m,16,1000,1,48000,4530573644,94386
list-none-m,24,1000,1,72000,8211239660,114044
list-none-s,1,1000,1,3000,8591157,2863
list-none-s,2,1000,1,6000,178188774,29698
list-none-s,4,1000,1,12000,1435403733,119616
list-none-s,8,1000,1,24000,30669872483,1277911
list-none-s,12,1000,1,36000,94296145500,2619337
list-none-s,16,1000,1,48000,401124189430,8356753
